"id","category","module","method","path","sourceFunction","status","owner","implementation"
"EP-001","Authentication","auth","POST","/api/v1/auth/signup","authService.registerUser()","tested","auth","internal/modules/auth"
"EP-002","Authentication","auth","POST","/api/v1/auth/login","authService.authenticate()","tested","auth","internal/modules/auth"
"EP-003","Authentication","auth","POST","/api/v1/auth/logout","authService.invalidateSessionByToken()","tested","auth","internal/modules/auth"
"EP-004","Authentication","auth","POST","/api/v1/auth/verify-email","authService.verifyEmailToken()","tested","auth","internal/modules/auth"
"EP-005","Authentication","auth","POST","/api/v1/auth/resend-verification","authService.resendVerificationEmail()","tested","auth","internal/modules/auth"
"EP-006","Authentication","auth","POST","/api/v1/auth/forgot-password","authService.requestPasswordReset()","tested","auth","internal/modules/auth"
"EP-007","Authentication","auth","POST","/api/v1/auth/reset-password","authService.resetPassword()","tested","auth","internal/modules/auth"
"EP-008","Home","home","GET","/api/v1/home/dashboard","getUserDashboard()","tested","home","internal/modules/home"
"EP-009","Home","home","GET","/api/v1/home/projects","getUserProjects()","tested","home","internal/modules/home"
"EP-010","Home","home","POST","/api/v1/home/projects","createProject()","tested","home","internal/modules/home"
"EP-011","Home","home","GET","/api/v1/home/projects/reference","getProjectCreationReference()","tested","home","internal/modules/home"
"EP-012","Home","home","GET","/api/v1/home/invites","getUserInvitesPage()","tested","home","internal/modules/home"
"EP-013","Home","home","POST","/api/v1/home/invites/{inviteId}/accept","acceptProjectInvite()","tested","home","internal/modules/home"
"EP-014","Home","home","POST","/api/v1/home/invites/{inviteId}/decline","declineProjectInvite()","tested","home","internal/modules/home"
"EP-015","Home","home","GET","/api/v1/home/notifications","getUserNotificationsPage()","tested","home","internal/modules/home"
"EP-016","Home","home","GET","/api/v1/home/activity","getUserActivityPage()","tested","home","internal/modules/home"
"EP-017","Home","home","GET","/api/v1/home/dashboard-activity","getUserDashboardActivity()","tested","home","internal/modules/home"
"EP-018","Home","home","GET","/api/v1/home/account","getUserAccountSettings()","tested","home","internal/modules/home"
"EP-019","Home","home","PUT","/api/v1/home/account","updateUserAccountSettings()","tested","home","internal/modules/home"
"EP-020","Home","home","GET","/api/v1/home/docs","getUserDocsSections()","tested","home","internal/modules/home"
"EP-021","Project","project","GET","/api/v1/projects/{projectId}/dashboard","getProjectDashboard()","tested","project","internal/modules/project"
"EP-022","Project","project","GET","/api/v1/projects/{projectId}/access","getProjectAccess()","tested","project","internal/modules/project"
"EP-023","Project","project","GET","/api/v1/projects/{projectId}/navigation","getProjectNavigationData()","tested","project","internal/modules/project"
"EP-024","Project","project","GET","/api/v1/projects/{projectId}/settings","getProjectSettings()","tested","project","internal/modules/project"
"EP-025","Project","project","PUT","/api/v1/projects/{projectId}/settings","updateProjectSettings()","tested","project","internal/modules/project"
"EP-026","Project","project","POST","/api/v1/projects/{projectId}/archive","archiveProject()","tested","project","internal/modules/project"
"EP-027","Project","project","DELETE","/api/v1/projects/{projectId}","deleteProject()","tested","project","internal/modules/project"
"EP-028","Team Management","team","GET","/api/v1/projects/{projectId}/team/members","getProjectTeamMembers()","tested","team","internal/modules/team"
