http.StatusBadRequest | apperr.CodeBadRequest | "allDay is required"
http.StatusBadRequest | apperr.CodeBadRequest | "artifactId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "cannot move task to In Progress when linked idea is Rejected"
http.StatusBadRequest | apperr.CodeBadRequest | "confirmPassword must match password"
http.StatusBadRequest | apperr.CodeBadRequest | "deadline must be ISO date"
http.StatusBadRequest | apperr.CodeBadRequest | "deliveryChannel is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "density is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "derived calendar events cannot be deleted"
http.StatusBadRequest | apperr.CodeBadRequest | "derived calendar events cannot be edited"
http.StatusBadRequest | apperr.CodeBadRequest | "displayName is required"
http.StatusBadRequest | apperr.CodeBadRequest | "docType is required"
http.StatusBadRequest | apperr.CodeBadRequest | "duration is required"
http.StatusBadRequest | apperr.CodeBadRequest | "duration must be a valid Go duration string"
http.StatusBadRequest | apperr.CodeBadRequest | "email is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "email is required"
http.StatusBadRequest | apperr.CodeBadRequest | "email must be a valid email address"
http.StatusBadRequest | apperr.CodeBadRequest | "end must be a valid ISO date"
http.StatusBadRequest | apperr.CodeBadRequest | "end must not be before start"
http.StatusBadRequest | apperr.CodeBadRequest | "endTime must use HH:mm format"
http.StatusBadRequest | apperr.CodeBadRequest | "eventId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "eventKind is required"
http.StatusBadRequest | apperr.CodeBadRequest | "feedbackId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "icon is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "icon is required"
http.StatusBadRequest | apperr.CodeBadRequest | "ideaId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid feedback outcome"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid idea status transition"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid idea status"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid journey status transition"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid journey status"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid page status transition"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid page status"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid phase"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid prefix"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid problem status transition"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid problem status"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid resource status transition"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid resource status"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid signup request"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid story status transition"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid story status"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid task status transition"
http.StatusBadRequest | apperr.CodeBadRequest | "invalid task status"
http.StatusBadRequest | apperr.CodeBadRequest | "invite expired"
http.StatusBadRequest | apperr.CodeBadRequest | "inviteId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "invites exceeds maximum batch size"
http.StatusBadRequest | apperr.CodeBadRequest | "invites must contain at least one item"
http.StatusBadRequest | apperr.CodeBadRequest | "journey payload is required"
http.StatusBadRequest | apperr.CodeBadRequest | "journeyId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "landing is invalid"
http.StatusBadRequest | apperr.CodeBadRequest | "limit must be an integer"
http.StatusBadRequest | apperr.CodeBadRequest | "limit must be greater than zero"
http.StatusBadRequest | apperr.CodeBadRequest | "limit must be less than or equal to 200"
http.StatusBadRequest | apperr.CodeBadRequest | "limit must be non-negative"
http.StatusBadRequest | apperr.CodeBadRequest | "linked locked problem is required"
http.StatusBadRequest | apperr.CodeBadRequest | "memberId is required"
http.StatusBadRequest | apperr.CodeBadRequest | "name is required"
http.StatusBadRequest | apperr.CodeBadRequest | "name must be at least 2 characters"
